key,translation
Guest_Thought_ArrivedInPark_Adult_01,'I'm so excited!'
Guest_Thought_ArrivedInPark_Adult_02,'This park better be worth the early start...'
Guest_Thought_ArrivedInPark_Adult_03,'I hope I like the rides in here'
Guest_Thought_ArrivedInPark_Adult_04,'Can't wait to get started'
Guest_Thought_ArrivedInPark_Child_01,'Yay!'
Guest_Thought_ArrivedInPark_Child_02,'I'm finally here!'
Guest_Thought_ArrivedInPark_Child_03,'Woohoo, let's go!'
Guest_Thought_ArrivedInPark_Child_04,'What do I go on first?'
Guest_Thought_ArrivedInPark_Common_01,'I've arrived!'
Guest_Thought_ArrivedInPark_Common_02,'I'm here!'
Guest_Thought_ArrivedInPark_Common_03,'How... how did I get here?'
Guest_Thought_ArrivedInPark_Common_04,'Here at last!'
Guest_Thought_ArrivedInPark_Teen_01,'This is gonna be great!'
Guest_Thought_ArrivedInPark_Teen_02,'I hope I brought enough cash today'
Guest_Thought_ArrivedInPark_Teen_03,'I've been looking forward to today for ages'
Guest_Thought_ArrivedInPark_Teen_04,'We're here! Let me at it!'
Guest_Thought_Assessment_ClassicRide_Adult_01,'I remember riding {reference} when it was new, it's even better now!'
Guest_Thought_Assessment_ClassicRide_Adult_02,'I’d happily pay more to ride one of the greats like {reference}'
Guest_Thought_Assessment_ClassicRide_Child_01,'{reference} is older than my granny and just as cool!'
Guest_Thought_Assessment_ClassicRide_Child_02,'I got to ride the classic {reference}!'
Guest_Thought_Assessment_ClassicRide_Child_03,'{reference} is a classic for a reason!'
Guest_Thought_Assessment_ClassicRide_Child_04,'{reference} is awesome! I can see why it's a classic!'
Guest_Thought_Assessment_ClassicRide_Common_01,'{reference} is a real classic! I’d pay more to keep it open!'
Guest_Thought_Assessment_ClassicRide_Teen_01,'Gotta respect the classics like {reference}'
Guest_Thought_Assessment_ClassicRide_Teen_02,'Sometimes old rides CAN be awesome, like {reference}'
Guest_Thought_Assessment_ClassicRide_Teen_03,'I'm gonna tell all my friends I got to ride a classic! - {reference}'
Guest_Thought_Assessment_DestinationCheap_Adult_01,'{reference} has such cheap tickets!'
Guest_Thought_Assessment_DestinationCheap_Adult_02,'{reference} is great value right now'
Guest_Thought_Assessment_DestinationCheap_Adult_03,'I can't believe how cheap {reference} tickets are!'
Guest_Thought_Assessment_DestinationCheap_Adult_04,'We got a bargain with tickets for {reference}'
Guest_Thought_Assessment_DestinationCheap_Child_01,'Yay! We can get loads of {reference} tickets!'
Guest_Thought_Assessment_DestinationCheap_Child_02,'We can easily buy tickets for {reference}'
Guest_Thought_Assessment_DestinationCheap_Child_03,'{reference} is worth more than that!'
Guest_Thought_Assessment_DestinationCheap_Common_01,'{reference} is really good value!'
Guest_Thought_Assessment_DestinationCheap_Teen_01,'Whoa, {reference} is really good value!'
Guest_Thought_Assessment_DestinationCheap_Teen_02,'{reference} tickets are a steal at the moment!'
Guest_Thought_Assessment_DestinationCheap_Teen_03,'{reference} has really cheap tickets!'
Guest_Thought_Assessment_DestinationCheap_Teen_04,'{reference} is cheap as chips!'
Guest_Thought_Assessment_DestinationExpensive_Adult_01,'Prices for {reference} are way too high!'
Guest_Thought_Assessment_DestinationExpensive_Adult_02,'{reference} costs so much more than it should'
Guest_Thought_Assessment_DestinationExpensive_Adult_03,'The prices for {reference} are through the roof!'
Guest_Thought_Assessment_DestinationExpensive_Adult_04,'{reference} really costs an arm and a leg!'
Guest_Thought_Assessment_DestinationExpensive_Child_01,'{reference} tickets cost too much!'
Guest_Thought_Assessment_DestinationExpensive_Child_02,'My parents said {reference} is overpriced'
Guest_Thought_Assessment_DestinationExpensive_Child_03,'{reference} isn't worth that much'
Guest_Thought_Assessment_DestinationExpensive_Child_04,'We don't like spending so much on {reference}'
Guest_Thought_Assessment_DestinationExpensive_Common_01,'{reference} is so expensive'
Guest_Thought_Assessment_DestinationExpensive_Teen_01,'{reference} sure is pricey!'
Guest_Thought_Assessment_DestinationExpensive_Teen_02,'I can't believe they're charging so much for {reference}'
Guest_Thought_Assessment_DestinationExpensive_Teen_03,'{reference} is stupidly expensive!'
Guest_Thought_Assessment_DestinationExpensive_Teen_04,'Wow! The prices for {reference} are pretty extreme'
Guest_Thought_Assessment_DistanceFar_Common_01,'It would take ages to walk to {reference}'
Guest_Thought_Assessment_DistanceFar_Common_02,'Walking to {reference} would take a really long time'
Guest_Thought_Assessment_DistanceFar_Common_03,'{reference} is really far away to walk to!'
Guest_Thought_Assessment_FacilityCheap_Adult_01,'{reference} costs money!? At least it's not too much'
Guest_Thought_Assessment_FacilityCheap_Adult_02,'{reference} costs a reasonable amount'
Guest_Thought_Assessment_FacilityCheap_Adult_03,'I can pay a little bit for {reference}'
Guest_Thought_Assessment_FacilityCheap_Child_01,'I can pay a little bit to use {reference}'
Guest_Thought_Assessment_FacilityCheap_Child_02,'{reference} costs a small amount to use? Okay'
Guest_Thought_Assessment_FacilityCheap_Child_03,'I'm glad {reference} doesn't cost a lot'
Guest_Thought_Assessment_FacilityCheap_Common_01,'I'm okay paying that much for {reference}'
Guest_Thought_Assessment_FacilityCheap_Teen_01,'Hmm, at least {reference} is cheap!'
Guest_Thought_Assessment_FacilityCheap_Teen_02,'{reference} doesn't cost too much'
Guest_Thought_Assessment_FacilityCheap_Teen_03,'I hope they don't put the prices up for {reference}'
Guest_Thought_Assessment_FacilityExpensive_Adult_01,'{reference} costs loads! That's a cheap trick'
Guest_Thought_Assessment_FacilityExpensive_Adult_02,'{reference} costs that much? That's disgusting'
Guest_Thought_Assessment_FacilityExpensive_Adult_03,'I can't believe {reference} costs that much'
Guest_Thought_Assessment_FacilityExpensive_Child_01,'Wow! {reference} costs a lot!'
Guest_Thought_Assessment_FacilityExpensive_Child_02,'I don't normally pay that much for {reference}'
Guest_Thought_Assessment_FacilityExpensive_Child_03,'I'm grumpy about paying lots for {reference}'
Guest_Thought_Assessment_FacilityExpensive_Common_01,'I'm not paying that much to use {reference}'
Guest_Thought_Assessment_FacilityExpensive_Teen_01,'That's so unfair, {reference} is extortionate!'
Guest_Thought_Assessment_FacilityExpensive_Teen_02,'No way, that much for {reference}!?'
Guest_Thought_Assessment_FacilityExpensive_Teen_03,'The price for {reference} is sky high'
Guest_Thought_Assessment_FacilityFree_Adult_01,'It's a good thing they don't charge for {reference}'
Guest_Thought_Assessment_FacilityFree_Adult_02,'I love that {reference} costs nothing!'
Guest_Thought_Assessment_FacilityFree_Adult_03,'Oh great, {reference} is free'
Guest_Thought_Assessment_FacilityFree_Child_01,'Cool, {reference} is free!'
Guest_Thought_Assessment_FacilityFree_Child_02,'Everyone is happy that {reference} is free'
Guest_Thought_Assessment_FacilityFree_Child_03,'I'm glad {reference} doesn't cost money'
Guest_Thought_Assessment_FacilityFree_Common_01,'I'm so glad {reference} is free'
Guest_Thought_Assessment_FacilityFree_Teen_01,'Whoa, {reference} is free!'
Guest_Thought_Assessment_FacilityFree_Teen_02,'I can't believe {reference} is free'
Guest_Thought_Assessment_FacilityFree_Teen_03,'Excellent! Free to use! - {reference}'
Guest_Thought_Assessment_FacilityUnaffordable_Adult_01,'I don't have the cash to visit {reference}'
Guest_Thought_Assessment_FacilityUnaffordable_Adult_02,'I can't visit {reference}, I've run out of money'
Guest_Thought_Assessment_FacilityUnaffordable_Adult_03,'I don't have enough money left to visit {reference}'
Guest_Thought_Assessment_FacilityUnaffordable_Child_01,'We don't have enough cash to visit {reference}'
Guest_Thought_Assessment_FacilityUnaffordable_Child_02,'We can't visit {reference} because we don't have enough money'
Guest_Thought_Assessment_FacilityUnaffordable_Child_03,'Oh no! We don't have enough money to visit {reference}!'
Guest_Thought_Assessment_FacilityUnaffordable_Common_01,'I don't have enough money to visit {reference}'
Guest_Thought_Assessment_FacilityUnaffordable_Teen_01,'I've run out of money for {reference}'
Guest_Thought_Assessment_FacilityUnaffordable_Teen_02,'I've spent so much that I can't visit {reference}!'
Guest_Thought_Assessment_FacilityUnaffordable_Teen_03,'Aw man! I don't have enough money for {reference}'
Guest_Thought_Assessment_GoodRide_Adult_01,'{reference} looks really cool!'
Guest_Thought_Assessment_GoodRide_Adult_02,'{reference} looks amazing!'
Guest_Thought_Assessment_GoodRide_Adult_03,'I like the look of {reference}!'
Guest_Thought_Assessment_GoodRide_Adult_04,'I can't wait to try {reference}!'
Guest_Thought_Assessment_GoodRide_Child_01,'I wanna go on {reference}!'
Guest_Thought_Assessment_GoodRide_Child_02,'Woah! {reference} is super cool!'
Guest_Thought_Assessment_GoodRide_Child_03,'I just gotta ride on {reference}!'
Guest_Thought_Assessment_GoodRide_Child_04,'If I don't get on {reference} I'm gonna freak!'
Guest_Thought_Assessment_GoodRide_Common_01,'I want to go on {reference}!'
Guest_Thought_Assessment_GoodRide_Teen_01,'Wow, {reference} looks really cool!'
Guest_Thought_Assessment_GoodRide_Teen_02,'{reference} looks ace!'
Guest_Thought_Assessment_GoodRide_Teen_03,'I bet {reference} is a great ride'
Guest_Thought_Assessment_GoodRide_Teen_04,'{reference} looks awesome!'
Guest_Thought_Assessment_ItemCheap_Adult_01,'{reference} is super cheap!'
Guest_Thought_Assessment_ItemCheap_Adult_02,'{reference} is great value right now'
Guest_Thought_Assessment_ItemCheap_Adult_03,'I can't believe how cheap {reference} is!'
Guest_Thought_Assessment_ItemCheap_Child_01,'Yay! We can easily buy {reference} for that price!'
Guest_Thought_Assessment_ItemCheap_Child_02,'We can easily buy {reference}'
Guest_Thought_Assessment_ItemCheap_Child_03,'{reference} is worth more than that!'
Guest_Thought_Assessment_ItemCheap_Common_01,'{reference} is great value!'
Guest_Thought_Assessment_ItemCheap_Common_02,'{reference} is a steal at that price!'
Guest_Thought_Assessment_ItemCheap_Common_03,'{reference} is great value!'
Guest_Thought_Assessment_ItemCheap_Teen_01,'Whoa, {reference} is really good value!'
Guest_Thought_Assessment_ItemCheap_Teen_02,'{reference} is a steal right now!'
Guest_Thought_Assessment_ItemCheap_Teen_03,'{reference} is really cheap!'
Guest_Thought_Assessment_ItemExpensive_Adult_01,'{reference} costs too much for me'
Guest_Thought_Assessment_ItemExpensive_Adult_02,'{reference} is overpriced'
Guest_Thought_Assessment_ItemExpensive_Adult_03,'I'm not buying {reference} at that price'
Guest_Thought_Assessment_ItemExpensive_Child_01,'{reference} is too much!'
Guest_Thought_Assessment_ItemExpensive_Child_02,'We can't spend that much on {reference}'
Guest_Thought_Assessment_ItemExpensive_Child_03,'{reference} isn't worth that much'
Guest_Thought_Assessment_ItemExpensive_Common_01,'{reference} is too expensive for me'
Guest_Thought_Assessment_ItemExpensive_Common_02,'I'm not paying that much for {reference}'
Guest_Thought_Assessment_ItemExpensive_Teen_01,'How much for {reference}!?'
Guest_Thought_Assessment_ItemExpensive_Teen_02,'No way I'm paying that much for {reference}'
Guest_Thought_Assessment_ItemExpensive_Teen_03,'{reference} is so expensive!'
Guest_Thought_Assessment_LowPrestigeHighCost_Adult_01,'I'm not paying that much to ride {reference}, it's old!'
Guest_Thought_Assessment_LowPrestigeHighCost_Adult_02,'I think {reference} is too expensive for its age'
Guest_Thought_Assessment_LowPrestigeHighCost_Adult_03,'{reference} costs too much for a ride that old'
Guest_Thought_Assessment_LowPrestigeHighCost_Child_01,'{reference} looks too old. I don't want to pay so much to ride it'
Guest_Thought_Assessment_LowPrestigeHighCost_Child_02,'I don't wanna pay that much to ride {reference}, it's too old'
Guest_Thought_Assessment_LowPrestigeHighCost_Child_03,'{reference} costs too much for a ride so old'
Guest_Thought_Assessment_LowPrestigeHighCost_Child_04,'{reference} looks old - why are the tickets so expensive?'
Guest_Thought_Assessment_LowPrestigeHighCost_Common_01,'{reference} is too expensive for an old ride'
Guest_Thought_Assessment_LowPrestigeHighCost_Teen_01,'{reference} is so... old and expensive'
Guest_Thought_Assessment_LowPrestigeHighCost_Teen_02,'No way I'm paying THAT to ride {reference}, it's so old'
Guest_Thought_Assessment_LowPrestigeHighCost_Teen_03,'{reference} looks super-old to me, no way I'm paying that much to ride it'
Guest_Thought_Assessment_LowPrestigeHighCost_Teen_04,'{reference} is so expensive, it looks older than my granny!'
Guest_Thought_Assessment_PPCheap_Common_01,'This Priority Pass seems really cheap to me!'
Guest_Thought_Assessment_PPCheap_Common_02,'I reckon this Priority Pass is amazing value'
Guest_Thought_Assessment_PPCheap_Common_03,'I'm definitely buying a Priority Pass at that price!'
Guest_Thought_Assessment_PPExpensive_Common_01,'This Priority Pass isn't worth that much to me!'
Guest_Thought_Assessment_PPExpensive_Common_02,'I wouldn't save enough queue time to justify a Priority Pass'
Guest_Thought_Assessment_PPExpensive_Common_03,'I'm not buying a Priority Pass at that price!'
Guest_Thought_Assessment_PPQueue_Jealous_Common_01,'I wish I had a Priority Pass'
Guest_Thought_Assessment_PPQueue_Jealous_Common_02,'I don't like that they sell Priority Passes'
Guest_Thought_Assessment_PPQueue_Jealous_Common_03,'It's not fair that rich people get to skip queues!'
Guest_Thought_Assessment_PPQueue_Long_Common_01,'There's no point using my Priority Pass on {reference}'
Guest_Thought_Assessment_PPQueue_Long_Common_02,'I wouldn't save much queue time using my Priority Pass on {reference}'
Guest_Thought_Assessment_PPQueue_Long_Common_03,'Rubbish! The normal queue is shorter than the Priority Pass Queue!'
Guest_Thought_Assessment_PPQueue_Short_Common_01,'I'm saving so much queuing time with my Priority Pass! - {reference}'
Guest_Thought_Assessment_PPQueue_Short_Common_02,'My Priority Pass is saving me loads of time on {reference}'
Guest_Thought_Assessment_PPQueue_Short_Common_03,'Using my Priority pass on {reference} is great!'
Guest_Thought_Assessment_PPUnwanted_Common_01,'Priority Passes are for suckers'
Guest_Thought_Assessment_PPUnwanted_Common_02,'I don't think I'd ever buy a Priority Pass'
Guest_Thought_Assessment_PPUnwanted_Common_03,'I don't mind queuing for rides, I don't need a Priority Pass'
Guest_Thought_Assessment_QueueFinished_Bad_Common_01,'Finally! The queue for {reference} lasted forever!'
Guest_Thought_Assessment_QueueFinished_Bad_Common_02,'I finally made it through the queue for {reference}!'
Guest_Thought_Assessment_QueueFinished_Bad_Common_03,'That took so long! What a queue! - {reference}'
Guest_Thought_Assessment_QueueFinished_Bad_Common_04,'I queued for {reference} for a really long time!'
Guest_Thought_Assessment_QueueFinished_Good_Common_01,'The queue for {reference} was quite quick'
Guest_Thought_Assessment_QueueFinished_Good_Common_02,'I didn't have to queue long for {reference}'
Guest_Thought_Assessment_QueueFinished_Good_Common_03,'The queue for {reference} was really fast'
Guest_Thought_Assessment_QueueFinished_Good_Common_04,'I barely queued at all for {reference}'
Guest_Thought_Assessment_QueueingLong_Common_01,'I've been queuing for {reference} for ages!'
Guest_Thought_Assessment_QueueingLong_Common_02,'The queue for {reference} is taking forever!'
Guest_Thought_Assessment_QueueingLong_Common_03,'How long is this queue going to take? - {reference}'
Guest_Thought_Assessment_QueueingLong_Common_04,'I've been queuing for {reference} for ages!'
Guest_Thought_Assessment_QueueingLong_Common_05,'The queue for {reference} feels so long!'
Guest_Thought_Assessment_QueueShort_Adult_01,'{reference} seems to have a quick queue!'
Guest_Thought_Assessment_QueueShort_Adult_02,'The queue for {reference} is well worth the wait'
Guest_Thought_Assessment_QueueShort_Adult_03,'I don't mind the queue for {reference}'
Guest_Thought_Assessment_QueueShort_Child_01,'The queue for {reference} looks sooo fast!'
Guest_Thought_Assessment_QueueShort_Child_02,'It's worth queuing up for {reference} right now'
Guest_Thought_Assessment_QueueShort_Child_03,'{reference} has a small queue!'
Guest_Thought_Assessment_QueueShort_Common_01,'The queue looks fast for {reference}'
Guest_Thought_Assessment_QueueShort_Teen_01,'The queue seems quick on {reference}'
Guest_Thought_Assessment_QueueShort_Teen_02,'I'm going on {reference} while the queue is short'
Guest_Thought_Assessment_QueueShort_Teen_03,'Great! The queue for {reference} looks quick'
Guest_Thought_Assessment_QueueTooLong_Adult_01,'{reference} has a huge queue!'
Guest_Thought_Assessment_QueueTooLong_Adult_02,'The queue for {reference} looks too long for me'
Guest_Thought_Assessment_QueueTooLong_Adult_03,'I can't believe how long the queue is for {reference}'
Guest_Thought_Assessment_QueueTooLong_Adult_04,'The queue for {reference} seems to go on forever'
Guest_Thought_Assessment_QueueTooLong_Child_01,'The queue for {reference} looks too long'
Guest_Thought_Assessment_QueueTooLong_Child_02,'This queue looks so long... - {reference}'
Guest_Thought_Assessment_QueueTooLong_Child_03,'{reference} has a huuuge queue!'
Guest_Thought_Assessment_QueueTooLong_Child_04,'Wow! That is one long queue for {reference}'
Guest_Thought_Assessment_QueueTooLong_Common_01,'I'm not queuing that long to go on {reference}'
Guest_Thought_Assessment_QueueTooLong_Teen_01,'I won't queue that long for {reference}'
Guest_Thought_Assessment_QueueTooLong_Teen_02,'The queue for {reference} looks massive right now'
Guest_Thought_Assessment_QueueTooLong_Teen_03,'I'm not waiting that long to go on {reference}'
Guest_Thought_Assessment_QueueTooLong_Teen_04,'Can you believe the queue for {reference}?'
Guest_Thought_Assessment_RideCheap_ParkEntryLow_Adult_01,'When I got through the Park Entrance, I expected {reference} to cost more than this!'
