key,translation
ParkManagement_AdultGroups,'Adult Groups'
ParkManagement_Attractions,'Attractions'
ParkManagement_AttractionsAndShops,'Attractions & Shops'
ParkManagement_AttractionsAndShops_Tooltip,'Lists of everything in your park'
ParkManagement_AverageTimeinPark,'Average Time in Park'
ParkManagement_AverageTotalSpend,'Average Total Spend'
ParkManagement_Balance,'Balance'
ParkManagement_Balance_CashBalance,'Cash Balance'
ParkManagement_Balance_LastYear,'Last year
(Last 8 months)'
ParkManagement_Balance_MonthlyAverage,'Average monthly
(Last 8 months)'
ParkManagement_Balance_ParkCash,'Park Cash'
ParkManagement_Balance_ParkValue,'Park Value'
ParkManagement_Balance_ThisMonth,'This month'
ParkManagement_Balance_YearlyAverage,'Yearly average
(Last 3 years)'
ParkManagement_BuildHistory,'Build History'
ParkManagement_BuildList_NoItems,'You have no build history'
ParkManagement_CloseTime,'Closing Time'
ParkManagement_CloseTimeHint,'Closing Time determines lighting at the end of a calendar month'
ParkManagement_DemographicBreakdown,'Demographic Breakdown'
ParkManagement_DutyRoster_AssignedTo_Body,'{count:int} staff members'
ParkManagement_DutyRoster_AssignedTo_Body_0,'0 staff members'
ParkManagement_DutyRoster_AssignedTo_Body_1,'1 staff member'
ParkManagement_DutyRoster_Contains_Concatenate,'{first}, {second}'
ParkManagement_DutyRoster_Contains_Empty,'Nothing'
ParkManagement_DutyRoster_Contains_Facility,'{count:int} facilities'
ParkManagement_DutyRoster_Contains_Facility_1,'1 facility'
ParkManagement_DutyRoster_Contains_Generic,'{count:int} other'
ParkManagement_DutyRoster_Contains_Generic_1,'1 other'
ParkManagement_DutyRoster_Contains_MeetAndGreet,'{count:int} entertainment points'
ParkManagement_DutyRoster_Contains_MeetAndGreet_1,'1 entertainment point'
ParkManagement_DutyRoster_Contains_ParkEntrance,'{count:int} entrances'
ParkManagement_DutyRoster_Contains_ParkEntrance_1,'1 entrance'
ParkManagement_DutyRoster_Contains_RideStation,'{count:int} rides'
ParkManagement_DutyRoster_Contains_RideStation_1,'1 ride'
ParkManagement_DutyRoster_Contains_Shop,'{count:int} shops'
ParkManagement_DutyRoster_Contains_Shop_1,'1 shop'
ParkManagement_DutyRoster_Description,'Work Rosters let you define which rides, attractions, shops, facilities or entertainment points should be prioritised by your staff members. Assign
a work roster to a member of staff by selecting the staff member and opening the employment tab.'
ParkManagement_DutyRosters,'Work Rosters'
ParkManagement_DutyRosters_AssignedTo,'Assigned to'
ParkManagement_DutyRosters_Contains,'Contains'
ParkManagement_DutyRosters_CreateNew,'Create new roster'
ParkManagement_DutyRosters_Name,'Roster name'
ParkManagement_DutyRosters_NoItems,'You have no duty rosters'
ParkManagement_DutyRosters_Tools,'Tools'
ParkManagement_EntranceTicketPrices,'Entrance Ticket Prices (per guest)'
ParkManagement_ExpenditureCategory_CoasterRunningCosts,'Coaster Running Costs'
ParkManagement_ExpenditureCategory_CoasterTickets,'Coaster Ticket Sales'
ParkManagement_ExpenditureCategory_FacilityConstruction,'Shop and Facility Construction'
ParkManagement_ExpenditureCategory_FacilityRunningCosts,'Shop and Facility Running Costs'
ParkManagement_ExpenditureCategory_FacilitySales,'Facility Sales'
ParkManagement_ExpenditureCategory_FastPassSales,'Priority Pass Sales'
ParkManagement_ExpenditureCategory_LoanInterest,'Loan Interest Payments'
ParkManagement_ExpenditureCategory_LoanLumpRepayment,'Loan Cash Paid Off'
ParkManagement_ExpenditureCategory_LoanMonthlyRepayment,'Loan Monthly Payments'
ParkManagement_ExpenditureCategory_LoanRecieved,'Loan Cash Received'
ParkManagement_ExpenditureCategory_MarketingMonthlyPayment,'Marketing Costs'
ParkManagement_ExpenditureCategory_ParkEntranceTickets,'Park Entrance Ticket Sales'
ParkManagement_ExpenditureCategory_PathPlacement,'Path Construction'
ParkManagement_ExpenditureCategory_ResearchMonthlyPayment,'Research Costs'
ParkManagement_ExpenditureCategory_Rewards,'Cash Rewards'
ParkManagement_ExpenditureCategory_RideConstruction,'Ride Construction'
ParkManagement_ExpenditureCategory_RideRefurbishment,'Refurbishments'
ParkManagement_ExpenditureCategory_RideRunningCosts,'Ride Running Costs'
ParkManagement_ExpenditureCategory_RideTickets,'Ride Ticket Sales'
ParkManagement_ExpenditureCategory_SceneryConstruction,'Scenery Construction'
ParkManagement_ExpenditureCategory_SceneryRunningCosts,'Scenery Running Costs'
ParkManagement_ExpenditureCategory_ShopSales,'Shop Sales'
ParkManagement_ExpenditureCategory_StaffWages,'Staff Wages'
ParkManagement_ExpenditureCategory_Terraforming,'Terraforming'
ParkManagement_ExpenditureCategory_Uncategorised,'Uncategorised'
ParkManagement_Facilities,'Facilities'
ParkManagement_FamilyGroups,'Family Groups'
ParkManagement_Finance,'Finance'
ParkManagement_Finance_Cash,'Park Cash'
ParkManagement_Finance_CashAxisName,'Money'
ParkManagement_Finance_CashFlow,'Cash Flow'
ParkManagement_Finance_CompanyValue,'Company Value'
ParkManagement_Finance_ConstructionCosts,'Construction Costs'
ParkManagement_Finance_GraphDate_Month_Year,'{MonthName}, Year {Year:int}'
ParkManagement_Finance_GraphDate_Year,'Year {Year:int}'
ParkManagement_Finance_OtherCash,'Other Cash'
ParkManagement_Finance_ParkManagement,'Park Management'
ParkManagement_Finance_ParkValue,'Park Value'
ParkManagement_Finance_Profit,'Profit'
ParkManagement_Finance_RidesAndTickets,'Rides And Tickets'
ParkManagement_Finances,'Finances'
ParkManagement_Finances_AverageMonth,'Average Month'
ParkManagement_Finances_Graphs_NoDataAvailableYet,'Graphs will be available at the start of {MONTHNAME}'
ParkManagement_Finance_ShopsAndFacilities,'Shops And Facilities'
ParkManagement_Finances_MinutesPastHour_0,'00'
ParkManagement_Finances_MinutesPastHour_15,'15'
ParkManagement_Finances_MinutesPastHour_30,'30'
ParkManagement_Finances_MinutesPastHour_45,'45'
ParkManagement_Finances_Tooltip,'View park finances or take out a loan'
ParkManagement_FinanceSummary,'Finance Summary'
ParkManagement_GraphData,'Graph Data'
ParkManagement_GraphHorizontalLinesToggle,'Show Horizontal Lines'
ParkManagement_Graphs,'Graphs'
ParkManagement_GraphSettings,'Graph Settings'
ParkManagement_GraphVariables,'Graph Variables'
ParkManagement_GraphVerticalLinesToggle,'Show Vertical Lines'
ParkManagement_GraphZoom_LastNYears_Multiple,'Last {count:int} years'
ParkManagement_GraphZoom_LastNYears_One,'Last year'
ParkManagement_GridEntertainers,'Entertainers'
ParkManagement_GridMaintenance,'Maintenance'
ParkManagement_GuestOverview,'Guest Overview'
ParkManagement_GuestOverviewNeeds,'Average guest needs'
ParkManagement_Guests,'Guests'
ParkManagement_Guests_AverageATMWithdrawal,'Average ATM Withdrawals'
ParkManagement_Guests_AverageCoasterSpend,'Average Coaster Spend'
ParkManagement_Guests_AverageDrinkSpend,'Average Drink Spend'
ParkManagement_Guests_AverageFlatRideSpend,'Average Ride Spend'
ParkManagement_Guests_AverageFoodSpend,'Average Food Spend'
ParkManagement_Guests_AverageSouvenirSpend,'Average Gift Shop Spend'
ParkManagement_Guests_Graph_Adult_Count,'Adult Group Members'
ParkManagement_Guests_Graph_Family_Count,'Family Group Members'
ParkManagement_Guests_Graph_Teen_Count,'Teen Group Members'
ParkManagement_Guests_Graph_Total_Count,'Total Guests'
ParkManagement_Guests_Tooltip,'Guest thoughts and information'
ParkManagement_GuestSummary,'Guest Summary'
ParkManagement_GuestThoughts,'Guest Thoughts'
ParkManagement_HireStaff,'Hire Staff'
